productType,price,sqft,rooms,bathrooms,location,pricePerSqft,latitude,longitude
House,7250000,3324,4,3,Arabian Ranches,2181.107099879663,25.055010254086,55.2773430145
Residence,7600000,6313,4,6,Business Bay,1203.8650403928402,25.190585,55.266117
Residence,2700000,2723,3,5,DAMAC Hills,991.5534337128167,25.018678460669,55.259846820586
Apartment,3300000,1133,1,1,Downtown Dubai,2912.621359223301,25.197159,55.274491
Residence,3100000,2406,4,3,Arabian Ranches 3,1288.445552784705,25.062979192311,55.321558464888
House,6500000,3186,3,3,Dubai Hills Estate,2040.1757689893284,25.113726788991,55.275090662257
House,3100000,2584,4,4,Arabian Ranches 3,1199.6904024767803,25.063126832259,55.323317624874
Apartment,3500000,2057,3,3,Dubai Marina,1701.507049100632,25.074281,55.137857
Apartment,2550000,1258,2,3,Downtown Dubai,2027.027027027027,25.189294,55.277241
House,10750000,4286,5,5,Dubai Hills Estate,2508.166122258516,25.100788878556,55.248185494388
House,4200000,2173,4,3,Dubai Hills Estate,1932.8117809479982,25.092683607735,55.253987543091
Apartment,2799988,805,1,2,Downtown Dubai,3478.2459627329195,25.185738506926,55.277806520462
Apartment,5800000,2325,3,4,Palm Jumeirah,2494.6236559139784,25.104144,55.148481
Apartment,480000,467,0,1,Jumeirah Village Circle (JVC),1027.8372591006423,25.047434,55.211363
Apartment,1200000,517,1,1,Sobha Hartland,2321.0831721470017,25.175383064531,55.309602500912
Apartment,4380000,1862,2,4,Business Bay,2352.3093447905476,25.184561,55.291356
Apartment,1500000,923,1,2,Dubai Marina,1625.1354279523293,25.0884,55.147004
House,2950000,2834,4,5,Reem,1040.9315455187016,25.011092337402,55.295697201091
House,3299000,2943,3,3,Arabian Ranches,1120.9650016989467,25.060056186153,55.295501671092
House,2698999,2554,3,3,Reem,1056.77329678935,25.007590561036,55.310069402904
Apartment,650000,461,0,1,Jumeirah Village Circle (JVC),1409.9783080260304,25.05176214983,55.212497897993
Residence,1350000,2186,2,3,Dubai South,617.5663311985361,24.945144,55.222208
Apartment,3200000,1935,2,3,Palm Jumeirah,1653.7467700258399,25.11326,55.13694
House,30000000,7335,4,5,Palm Jumeirah,4089.9795501022495,25.10945,55.129866
House,2800000,2153,3,4,Tilal Al Ghaf,1300.5109150023222,25.028951933637,55.233590634198
House,21000000,7600,5,6,Mohammed Bin Rashid City,2763.157894736842,25.168004572073,55.274267770006
Apartment,2000000,821,1,2,Palm Jumeirah,2436.05359317905,25.12543,55.153182
Apartment,469999,414,0,1,Jumeirah Village Circle (JVC),1135.2632850241546,25.055795,55.201555
Residence,4300000,1345,2,2,Dubai Creek Harbour,3197.0260223048326,25.204346660306,55.34462779919
Apartment,2500000,1807,3,4,Jumeirah Golf Estates,1383.5085777531822,25.029820958846,55.206913680835
Apartment,1250000,645,1,1,Dubai Hills Estate,1937.984496124031,25.11521,55.248445
Residence,1920000,2026,3,4,Town Square,947.680157946693,25.014435287872,55.283214330922
Apartment,1450000,544,0,1,Dubai Marina,2665.4411764705883,25.077434,55.140271
House,6900000,3523,4,4,Dubai Hills Estate,1958.5580471189328,25.100788878556,55.248185494388
House,13500000,7169,6,5,Arabian Ranches,1883.1078253591854,25.051593866908,55.268797085843
Apartment,1150000,913,1,2,Jumeirah Village Circle (JVC),1259.5837897042716,25.054204214761,55.202882571161
House,2250000,1690,2,2,The Springs,1331.3609467455622,25.060569917762,55.188556689737
Apartment,585000,438,1,1,DAMAC Hills,1335.6164383561643,25.022713505481,55.242664973999
Apartment,2360000,1122,2,2,Sobha Hartland,2103.3868092691623,25.175383064531,55.309602500912
Apartment,999999,486,1,1,Dubai Hills Estate,2057.6111111111113,25.099519,55.244235
Apartment,1900000,808,1,1,Downtown Dubai,2351.4851485148515,25.189539,55.276785
Apartment,1300000,646,1,1,Dubai Hills Estate,2012.3839009287926,25.11521,55.248445
House,3250000,2692,2,4,Jumeirah Village Triangle (JVT),1207.2808320950967,25.047146,55.185249
House,3300000,3165,4,5,Reem,1042.654028436019,25.013320232597,55.300927028642
Apartment,980000,441,0,1,Business Bay,2222.222222222222,25.190546,55.283397
Apartment,999000,739,1,1,Jumeirah Lake Towers (JLT),1351.8267929634642,25.069999694824,55.141201019287
Apartment,2450000,1205,2,2,Dubai Hills Estate,2033.195020746888,25.123709,55.260482
Apartment,15000000,2061,3,3,Bluewaters Island,7278.020378457059,25.079124,55.12064
Apartment,2620000,1115,2,3,Business Bay,2349.775784753363,25.186525,55.286529
Apartment,1500000,475,1,1,Dubai Hills Estate,3157.8947368421054,25.099519,55.244235
Apartment,1050000,823,1,2,Dubai Marina,1275.820170109356,25.068307,55.12925
Apartment,650000,502,0,1,Jumeirah Village Circle (JVC),1294.820717131474,25.050803683826,55.205220721407
Apartment,2200000,959,2,2,Dubai Hills Estate,2294.0563086548486,25.11521,55.248445
Apartment,450000,501,0,1,Dubai Production City (IMPZ),898.2035928143713,25.038253,55.201036
House,2800000,1794,2,3,The Springs,1560.7580824972129,25.061012522658,55.181473495911
Apartment,700000,972,1,2,Jumeirah Village Circle (JVC),720.164609053498,25.050708,55.213872
Apartment,2250000,1903,3,4,Jumeirah Beach Residence (JBR),1182.3436678928008,25.080684533226,55.138990914355
