productType,price,sqft,rooms,bathrooms,location,pricePerSqft,latitude,longitude
House,1485000,1945,3,4,Dubai South,763.4961439588689,24.853274907273,55.160668161273
House,5950000,2998,3,4,The Springs,1984.6564376250833,25.064435735899,55.190865120208
Apartment,1650000,900,2,2,Business Bay,1833.3333333333333,25.186702,55.282607
Apartment,635000,412,0,1,Al Furjan,1541.2621359223301,25.019270174077,55.145637809339
Apartment,650000,377,0,1,Jumeirah Village Circle (JVC),1724.1379310344828,25.067673118253,55.206632671149
Apartment,3600000,1620,3,3,Dubai Creek Harbour,2222.222222222222,25.203757789165,55.344225445111
Apartment,2100000,1300,2,2,Jumeirah Beach Residence (JBR),1615.3846153846155,25.077203,55.13566
Residence,12500000,5578,5,5,Jumeirah Beach Residence (JBR),2240.9465758336323,25.07628,55.133858
Apartment,4600000,2173,3,4,Dubai Marina,2116.889093419236,25.070527,55.133048
House,15990000,4822,4,4,Jumeirah,3316.051430941518,25.235243745302,55.257225990246
Apartment,4150000,1372,2,3,Downtown Dubai,3024.781341107872,25.190296330347,55.273151335546
House,9200000,8361,4,5,Jumeirah Park,1100.3468484631026,25.054458143028,55.145723395613
Apartment,4000000,2455,2,4,Dubai Marina,1629.3279022403258,25.088199615479,55.14640045166
Apartment,2975000,1558,2,2,Dubai Marina,1909.4993581514761,25.075544,55.133946
Apartment,4488000,1958,2,3,Dubai Marina,2292.1348314606744,25.079645,55.139158
House,9500000,6700,5,7,Dubai Science Park,1417.910447761194,25.070835,55.238267
Apartment,700000,289,0,1,Meydan City,2422.1453287197232,25.173195188265,55.29889006735
House,4700000,2471,4,4,Dubai Hills Estate,1902.0639417239984,25.093067784933,55.252916100774
Apartment,1130000,1079,1,2,Arjan,1047.2659870250232,25.06774,55.235095
Apartment,1650000,877,1,1,Downtown Dubai,1881.4139110604333,25.187137,55.275907
Apartment,1545000,714,1,1,Dubai Hills Estate,2163.8655462184875,25.123709,55.260482
House,3300000,1647,2,3,The Springs,2003.6429872495446,25.051038895544,55.174361264888
Apartment,1870000,797,2,2,Business Bay,2346.298619824341,25.179857620119,55.252031336023
Apartment,9450000,2102,3,4,Dubai Harbour,4495.718363463368,25.092530010403,55.143982246841
Apartment,1275000,960,1,2,Dubai Marina,1328.125,25.089626,55.148014
Apartment,17600000,3965,3,4,Dubai Media City,4438.839848675914,25.091571616327,55.150411829763
