productType,price,sqft,rooms,bathrooms,location,pricePerSqft
House,2250000,1690,2,2,The Springs,1331.3609467455622
Apartment,585000,438,1,1,DAMAC Hills,1335.6164383561643
Apartment,2360000,1122,2,2,Sobha Hartland,2103.3868092691623
Apartment,999999,486,1,1,Dubai Hills Estate,2057.6111111111113
Apartment,1900000,808,1,1,Downtown Dubai,2351.4851485148515
Apartment,1300000,646,1,1,Dubai Hills Estate,2012.3839009287926
House,3250000,2692,2,4,Jumeirah Village Triangle (JVT),1207.2808320950967
House,3300000,3165,4,5,Reem,1042.654028436019
Apartment,980000,441,0,1,Business Bay,2222.222222222222
Apartment,999000,739,1,1,Jumeirah Lake Towers (JLT),1351.8267929634642
Apartment,2450000,1205,2,2,Dubai Hills Estate,2033.195020746888
Apartment,15000000,2061,3,3,Bluewaters Island,7278.020378457059
Apartment,2620000,1115,2,3,Business Bay,2349.775784753363
Apartment,1500000,475,1,1,Dubai Hills Estate,3157.8947368421054
Apartment,1050000,823,1,2,Dubai Marina,1275.820170109356
Apartment,650000,502,0,1,Jumeirah Village Circle (JVC),1294.820717131474
Apartment,2200000,959,2,2,Dubai Hills Estate,2294.0563086548486
Apartment,450000,501,0,1,Dubai Production City (IMPZ),898.2035928143713
House,2800000,1794,2,3,The Springs,1560.7580824972129
Apartment,700000,972,1,2,Jumeirah Village Circle (JVC),720.164609053498
Apartment,2250000,1903,3,4,Jumeirah Beach Residence (JBR),1182.3436678928008
House,7500000,4270,4,4,Arabian Ranches,1756.440281030445
House,5000000,3400,3,4,The Sustainable City,1470.5882352941176
House,20000000,8812,4,5,Jumeirah Islands,2269.632319564231
Apartment,2100000,1694,2,4,Dubai Marina,1239.6694214876034
House,12995000,4219,4,5,Jumeirah Golf Estates,3080.1137710357903
Apartment,1950000,938,1,2,Downtown Dubai,2078.8912579957355
House,3700000,2071,3,3,Dubai Hills Estate,1786.5765330758088
Apartment,14000000,2061,3,3,Bluewaters Island,6792.819019893256
House,10750000,4483,5,5,Dubai Hills Estate,2397.9478028106178
Residence,3800000,2653,4,4,Mudon,1432.3407463249152
Apartment,900000,1498,2,2,Remraam,600.8010680907877
Apartment,1199999,1306,2,3,Dubai Production City (IMPZ),918.8353751914242
Apartment,3075000,1996,2,2,Palm Jumeirah,1540.5811623246493
Apartment,425000,427,0,1,Arjan,995.3161592505854
Apartment,1998888,2593,3,4,Town Square,770.8785190898573
Apartment,1200000,476,1,1,Dubai Hills Estate,2521.0084033613443
House,4500000,3900,5,4,The Villa,1153.8461538461538
Apartment,2600000,2450,4,5,Dubai Marina,1061.2244897959183
House,15000000,8418,6,8,DAMAC Hills,1781.895937277263
House,16499999,5258,4,7,DAMAC Hills,3138.0751236211486
Apartment,925000,1304,2,3,Jebel Ali,709.3558282208589
House,5500000,6210,5,6,Green Community,885.6682769726248
Apartment,2350000,1578,2,3,Dubai Marina,1489.2268694550064
House,3050000,1791,4,6,Jumeirah Village Circle (JVC),1702.959240647683
Apartment,13000000,2553,3,4,Downtown Dubai,5092.04857030944
Residence,3950000,2387,4,4,Dubai Hills Estate,1654.7968160871387
Apartment,7200000,2280,3,4,Palm Jumeirah,3157.8947368421054
House,22500000,5500,5,5,Jumeirah Islands,4090.909090909091
Apartment,630000,608,1,1,Town Square,1036.1842105263158
Apartment,7000000,3374,4,5,Dubai Hills Estate,2074.688796680498
Apartment,1800000,1224,1,1,Business Bay,1470.5882352941176
House,20000000,7539,4,5,Mohammed Bin Rashid City,2652.871733651678
Apartment,3050000,1491,2,3,Downtown Dubai,2045.60697518444
Apartment,3900000,1954,3,4,Business Bay,1995.9058341862844
Residence,4200000,2462,4,4,Dubai Hills Estate,1705.9301380991064
Apartment,3450000,1365,2,2,Downtown Dubai,2527.4725274725274
House,2200000,1937,3,4,Arabian Ranches 3,1135.776974703149
Apartment,1450000,720,1,1,Dubai Creek Harbour,2013.888888888889
Residence,1800000,2324,3,5,DAMAC Hills 2 (Akoya by DAMAC),774.526678141136
Apartment,1550000,787,2,2,Sobha Hartland,1969.5044472681068
House,24750000,8669,6,9,Dubai Hills Estate,2855.000576767793
Apartment,2149950,1639,3,3,Dubai Marina,1311.744966442953
Apartment,2025000,1176,2,2,Dubai Creek Harbour,1721.938775510204
House,3800000,2071,3,3,Dubai Hills Estate,1834.8623853211009
House,16500000,10617,6,6,Jumeirah Golf Estates,1554.1113308844306
Apartment,2000000,1517,2,2,Business Bay,1318.3915622940012
Apartment,2780000,1882,3,4,Jumeirah Beach Residence (JBR),1477.151965993624
Apartment,3800000,1665,3,4,Dubai Creek Harbour,2282.2822822822823
Apartment,2450000,1511,2,3,Business Bay,1621.4427531436136
Apartment,720000,468,0,1,Business Bay,1538.4615384615386
Apartment,3200000,1746,2,2,Palm Jumeirah,1832.7605956471937
Apartment,570000,349,0,1,Town Square,1633.2378223495703
Apartment,495000,397,0,1,Jumeirah Village Circle (JVC),1246.8513853904283
Apartment,3600000,1924,3,4,Jumeirah Beach Residence (JBR),1871.1018711018712
Apartment,1400000,736,1,1,The Views,1902.1739130434783
Apartment,900000,548,0,1,Business Bay,1642.3357664233577
Apartment,3500000,1542,2,3,Jumeirah,2269.7795071335927
Residence,1750000,1527,2,3,Jumeirah Village Circle (JVC),1146.03798297315
Apartment,1249950,747,1,1,The Views,1673.293172690763
House,7500000,4600,4,4,Arabian Ranches,1630.4347826086957
Apartment,2399999,1212,2,2,Dubai Creek Harbour,1980.197194719472
Apartment,2000000,1019,2,3,Dubai Hills Estate,1962.7085377821393
Apartment,3700000,1953,3,4,Business Bay,1894.521249359959
Residence,2250000,1764,2,4,Jumeirah Village Circle (JVC),1275.5102040816328
House,15500000,6006,7,9,Arabian Ranches,2580.752580752581
Residence,1400000,2379,3,3,International City,588.4825556956705
Apartment,4300000,1894,3,4,Dubai Marina,2270.3273495248154
Residence,11000000,4838,4,5,Palm Jumeirah,2273.666804464655
House,2500000,2325,3,4,Reem,1075.268817204301
Apartment,1500000,1250,2,3,Business Bay,1200.0
Apartment,2235000,1530,2,2,Downtown Dubai,1460.7843137254902
Apartment,1300000,711,1,1,Dubai Hills Estate,1828.4106891701829
Apartment,2300000,1370,2,2,The Views,1678.8321167883212
Apartment,4250000,2222,3,3,Palm Jumeirah,1912.6912691269126
Apartment,5495000,3891,3,4,Dubai Marina,1412.2333590336675
Apartment,8000000,1164,2,3,Jumeirah Beach Residence (JBR),6872.852233676976
Apartment,3150000,1066,2,2,Dubai Marina,2954.971857410882
Apartment,6150000,1827,3,3,Dubai Marina,3366.174055829228
House,17800000,14166,4,5,Jumeirah Golf Estates,1256.5297190456022
Apartment,550000,490,0,1,Arjan,1122.4489795918366
House,10900000,4924,5,4,The Meadows,2213.647441104793
Apartment,3490000,1231,2,2,Dubai Marina,2835.093419983753
House,45000000,7000,6,6,Palm Jumeirah,6428.571428571428
House,3975000,2258,3,4,The Springs,1760.4074402125775
House,2350000,1647,2,3,The Springs,1426.836672738312
Apartment,600000,474,0,1,Arjan,1265.8227848101267
